PlayerID,StartingSR,CurrentSR,Games Played,Games Lost,Games Won
0,1709,1709,0,0,0
1,-53,-53,0,0,0
2,1633,1633,0,0,0
3,1784,1784,0,0,0
4,1634,1634,0,0,0
5,2785,2785,0,0,0
6,1997,1997,0,0,0
7,2473,2473,0,0,0
8,1446,1446,0,0,0
9,2053,2053,0,0,0
10,2439,2439,0,0,0
11,3475,3475,0,0,0
12,2140,2140,0,0,0
13,2213,2213,0,0,0
14,1799,1799,0,0,0
15,2157,2157,0,0,0
16,1715,1715,0,0,0
17,2107,2107,0,0,0
18,2940,2940,0,0,0
19,2047,2047,0,0,0
20,3097,3097,0,0,0
21,2786,2786,0,0,0
22,1364,1364,0,0,0
23,3634,3634,0,0,0
24,2971,2971,0,0,0
25,1505,1505,0,0,0
26,1812,1812,0,0,0
27,2999,2999,0,0,0
28,3582,3582,0,0,0
29,2049,2049,0,0,0
30,1804,1804,0,0,0
31,2726,2726,0,0,0
32,2979,2979,0,0,0
33,2943,2943,0,0,0
34,2103,2103,0,0,0
35,2345,2345,0,0,0
36,2532,2532,0,0,0
37,2382,2382,0,0,0
38,2726,2726,0,0,0
39,2307,2307,0,0,0
40,1646,1646,0,0,0
41,2303,2303,0,0,0
42,2669,2669,0,0,0
43,1701,1701,0,0,0
44,2801,2801,0,0,0
45,1593,1593,0,0,0
46,3370,3370,0,0,0
47,2413,2413,0,0,0
48,2995,2995,0,0,0
49,3818,3818,0,0,0
50,2227,2227,0,0,0
51,2642,2642,0,0,0
52,2591,2591,0,0,0
53,3302,3302,0,0,0
54,2347,2347,0,0,0
55,2743,2743,0,0,0
56,2852,2852,0,0,0
57,2039,2039,0,0,0
58,837,837,0,0,0
59,2516,2516,0,0,0
60,1722,1722,0,0,0
61,2116,2116,0,0,0
62,1254,1254,0,0,0
63,1633,1633,0,0,0
64,2616,2616,0,0,0
65,2909,2909,0,0,0
66,2688,2688,0,0,0
67,2165,2165,0,0,0
68,1534,1534,0,0,0
69,181,181,0,0,0
70,2551,2551,0,0,0
71,2211,2211,0,0,0
72,1670,1670,0,0,0
73,2413,2413,0,0,0
74,4194,4194,0,0,0
75,1369,1369,0,0,0
76,1953,1953,0,0,0
77,2902,2902,0,0,0
78,2124,2124,0,0,0
79,2816,2816,0,0,0
80,3934,3934,0,0,0
81,2511,2511,0,0,0
82,2045,2045,0,0,0
83,2618,2618,0,0,0
84,2808,2808,0,0,0
85,2956,2956,0,0,0
86,2693,2693,0,0,0
87,2318,2318,0,0,0
88,2761,2761,0,0,0
89,1514,1514,0,0,0
90,2848,2848,0,0,0
91,2456,2456,0,0,0
92,3205,3205,0,0,0
93,2297,2297,0,0,0
94,2422,2422,0,0,0
95,3003,3003,0,0,0
96,2607,2607,0,0,0
97,2719,2719,0,0,0
98,1634,1634,0,0,0
99,2799,2799,0,0,0
100,3481,3481,0,0,0
101,3122,3122,0,0,0
102,1716,1716,0,0,0
103,2809,2809,0,0,0
104,3070,3070,0,0,0
105,1591,1591,0,0,0
106,2191,2191,0,0,0
107,168,168,0,0,0
108,964,964,0,0,0
109,2238,2238,0,0,0
110,2263,2263,0,0,0
111,2371,2371,0,0,0
112,2058,2058,0,0,0
113,1858,1858,0,0,0
114,2009,2009,0,0,0
115,1994,1994,0,0,0
116,3484,3484,0,0,0
117,3181,3181,0,0,0
118,1352,1352,0,0,0
119,2660,2660,0,0,0
120,2145,2145,0,0,0
121,1943,1943,0,0,0
122,1169,1169,0,0,0
123,2172,2172,0,0,0
124,2550,2550,0,0,0
125,1316,1316,0,0,0
126,2259,2259,0,0,0
127,1591,1591,0,0,0
128,603,603,0,0,0
129,3486,3486,0,0,0
130,2220,2220,0,0,0
131,2501,2501,0,0,0
132,2072,2072,0,0,0
133,1418,1418,0,0,0
134,1975,1975,0,0,0
135,1442,1442,0,0,0
136,2502,2502,0,0,0
137,2825,2825,0,0,0
138,3809,3809,0,0,0
139,2379,2379,0,0,0
140,2812,2812,0,0,0
141,2453,2453,0,0,0
142,1657,1657,0,0,0
143,1635,1635,0,0,0
144,2296,2296,0,0,0
